6
Rengar,Mordekaiser,Taric,Trundle,Galio,Soraka,Fiora,Tristana,Brand,Tryndamere
Fiora,Varus,Fizz,Cho’Gath,Vayne,Orianna,Diana,Sivir,Jarvan,Leona
Taric,Karma,Thresh,Morgana,Talon,Hecarim,Gragas,Cho’Gath,Pantheon,Mordekaiser
Riven,Rengar,Vayne,Diana,Soraka,Rammus,Janna,Galio,Jax,Singed
Karma,Trundle,Janna,Alistar,Karthus,Vi,Brand,Maokai,Jayce,Mordekaiser
Garen,Mordekaiser,Swain,Shaco,Shyvana,Evelynn,Olaf,Karthus,Teemo,Fiora
Kha'Zix,Riven,Nunu,Caitlyn,Taric,Shyvana,Thresh,Nocturne,Ashe,LeBlanc,2
Shaco,Udyr,Twitch,Garen,Kayle,Fizz,Jayce,Tristana,Taric,Jarvan,1
Syndra,Vayne,Alistar,Annie,Shyvana,Fiora,Thresh,Diana,Brand,Mordekaiser,2
Irelia,Skarner,Ashe,Trundle,Caitlyn,Nami,Diana,Twisted,Gragas,Soraka,1
Jax,Cho'Gath,Nami,Vayne,Blitzcrank,Darius,Garen,Elise,Heimerdinger,Kennen,1
Skarner,Gragas,Cho'Gath,Syndra,Trundle,Darius,Fiora,Nidalee,Elise,Nami,1
Elise,Nami,Evelynn,Fiora,Diana,Kha'Zix,Irelia,Sion,Master,Morgana,1
Dr.Mundo,Poppy,Kog'Maw,Fiora,Katarina,Kha'Zix,Fiddlesticks,Kayle,Rumble,Jax,1
Morgana,Poppy,Amumu,Fiora,Karma,Corki,Garen,Vi,Thresh,Caitlyn,2
Diana,Fiddlesticks,Lee,Ezreal,Orianna,Fizz,Viktor,Lulu,Galio,Mordekaiser,1
Thresh,Lee,Vi,Maokai,Fizz,Jax,Diana,Karma,Akali,Gragas,1
Fiora,Heimerdinger,Mordekaiser,Darius,Cho'Gath,Irelia,Kog'Maw,Nami,Jax,Lux,1
Alistar,Shyvana,Vayne,Graves,Caitlyn,Darius,Mordekaiser,Tristana,Katarina,Nunu,2
Diana,Evelynn,Mordekaiser,Gragas,Caitlyn,Poppy,Teemo,Elise,Maokai,Varus,1
Swain,Cho'Gath,Sona,Nocturne,Orianna,Gragas,Morgana,Jayce,Shen,Ashe,1
Garen,Swain,Talon,Pantheon,Cho'Gath,Urgot,Dr.Mundo,Mordekaiser,Jax,Elise,1
Soraka,Thresh,Fiora,Shyvana,Galio,Rammus,Shen,Kennen,Skarner,Annie,1
Sejuani,Twisted,Cho'Gath,Pantheon,Mordekaiser,Poppy,Kog'Maw,Kha'Zix,Teemo,Karma,1
Diana,Singed,Nocturne,Morgana,Udyr,Nidalee,Brand,Trundle,Caitlyn,Malzahar,1
Master,Jayce,Garen,Evelynn,Sivir,Akali,Alistar,Sion,Sona,Twisted,1
Ashe,Mordekaiser,Trundle,Evelynn,Thresh,Alistar,Ryze,Orianna,Elise,Kennen,1
Vayne,Annie,Jax,Brand,Garen,Rengar,Cho'Gath,Morgana,Caitlyn,Thresh,1
Pantheon,Nautilus,Elise,Jarvan,Garen,Maokai,Thresh,Corki,Orianna,Rammus,1
Lulu,Jax,Urgot,Tristana,Fiora,Blitzcrank,Caitlyn,Karthus,Fizz,Teemo,1
Lulu,Galio,Nami,Darius,Jax,Corki,Rumble,Morgana,Master,Twisted,2
Evelynn,Sona,Nidalee,Orianna,Kayle,Taric,Trundle,Corki,Kennen,Teemo,2
Veigar,Riven,Vayne,Diana,LeBlanc,Sivir,Renekton,Kassadin,Skarner,Viktor,1
Akali,Caitlyn,Gragas,Evelynn,Tristana,Singed,Shaco,Jax,Viktor,Miss,1
Graves,Fiora,Malphite,Jayce,Teemo,Heimerdinger,Gragas,Leona,Morgana,Nami,1
Kayle,Rammus,Thresh,Orianna,Nautilus,Dr.Mundo,Heimerdinger,Fizz,Fiora,Miss,2
Ezreal,Tristana,Nami,Varus,Nidalee,Cho'Gath,Corki,Swain,Twisted,Alistar,1
Heimerdinger,Kha'Zix,Riven,Kayle,Sion,Singed,Maokai,Galio,Lux,Jarvan,2
Swain,Thresh,Miss,Olaf,Diana,Twisted,Brand,Urgot,Shyvana,Kassadin,1
Alistar,Malphite,Singed,Galio,Orianna,Nocturne,Nautilus,Corki,Diana,Poppy,1
Cassiopeia,Anivia,Veigar,Elise,Maokai,Shen,Karma,Galio,Jax,Graves,1
Sona,Nunu,Kha'Zix,Blitzcrank,Ezreal,Diana,Twisted,LeBlanc,Pantheon,Corki,2
Diana,Heimerdinger,Fiora,Syndra,Lulu,Blitzcrank,Jax,Nocturne,Karma,Kassadin,1
Shen,Twisted,Evelynn,Trundle,Rumble,Janna,Kha'Zix,Tristana,Sivir,Jayce,1
Shyvana,Morgana,Katarina,Rumble,Master,Vayne,Fiora,Cho'Gath,Teemo,Draven,1
Vayne,Malzahar,Ryze,Amumu,Annie,Teemo,Kennen,Pantheon,Master,Corki,1
Diana,Caitlyn,Poppy,Jayce,Thresh,Gragas,Mordekaiser,Corki,Blitzcrank,Malphite,2
Elise,Twisted,Soraka,Teemo,Poppy,Udyr,Nasus,Twitch,Rammus,Ezreal,2
Alistar,Caitlyn,Nunu,Shyvana,Nami,Gragas,Orianna,Trundle,Lulu,Kassadin,2
Singed,Evelynn,Diana,Nami,Soraka,Shyvana,Caitlyn,Fiora,Nidalee,Dr.Mundo,1
Ryze,Twitch,Nami,Soraka,Anivia,Ezreal,Draven,Morgana,Diana,Sona,2
Sejuani,Nasus,Heimerdinger,Teemo,Singed,Orianna,Jax,Evelynn,Vi,Annie,2
Karma,Trundle,Teemo,Kayle,Renekton,Mordekaiser,Annie,Lulu,Swain,Malzahar,1
Karma,Skarner,Cassiopeia,Fiddlesticks,Amumu,Twisted,Kog'Maw,Nasus,Veigar,Ashe,2
Morgana,Kennen,Rumble,Kayle,Caitlyn,Fiora,Nunu,Alistar,Diana,Garen,2
Malphite,Poppy,Elise,Diana,Sejuani,Garen,Karthus,Akali,Rammus,Nautilus,1
Fiora,Gragas,Vi,Viktor,Lee,Ashe,Mordekaiser,Orianna,Morgana,Fiddlesticks,2
Twisted,Thresh,Singed,Evelynn,Karma,Annie,Katarina,Rengar,Kayle,Poppy,1
Shaco,Annie,Diana,Vayne,Master,Jax,Pantheon,Caitlyn,Shyvana,Taric,1
Nami,Corki,Vi,Miss,Mordekaiser,Brand,Darius,Teemo,Singed,Nunu,2
Orianna,Brand,Twisted,Riven,Gragas,Twitch,Varus,Morgana,Malphite,Shyvana,1
Nasus,Alistar,Corki,Sion,Evelynn,Ezreal,Orianna,Amumu,Draven,Kha'Zix,1
Malzahar,Gragas,Ashe,Twitch,Mordekaiser,Thresh,Trundle,Corki,Riven,Elise,1
Akali,Singed,Kog'Maw,Fizz,Fiddlesticks,Udyr,Pantheon,Elise,Sejuani,Blitzcrank,2
Evelynn,Shyvana,Fiora,Corki,Lux,Urgot,Irelia,Galio,LeBlanc,Mordekaiser,1
Sion,Draven,Caitlyn,Urgot,Gragas,Poppy,Dr.Mundo,Leona,Lux,Katarina,1
Renekton,Fiora,Nautilus,Kayle,Varus,Akali,Fiddlesticks,Thresh,Poppy,Urgot,1
Jarvan,Diana,Annie,Galio,Morgana,Alistar,Kha'Zix,Darius,Malphite,Nocturne,1
Kennen,Ashe,Trundle,Diana,Shen,Nautilus,Heimerdinger,Nami,Lee,Shyvana,2
Lee,Sejuani,Miss,Riven,Taric,Varus,Ashe,Jarvan,Nocturne,Kog'Maw,1
Alistar,Mordekaiser,Fiora,Thresh,Akali,Vayne,Master,Jax,Poppy,Diana,2
Lux,Sejuani,Thresh,Karma,Nami,Fizz,Diana,Sion,Kog'Maw,Blitzcrank,1
Anivia,Twisted,Jayce,Draven,Malphite,Kennen,Viktor,Garen,Caitlyn,Hecarim,1
Cassiopeia,Sona,Cho'Gath,Nami,Poppy,Ryze,Orianna,Karma,Urgot,Gragas,2
Sona,Shyvana,Orianna,Nasus,Fiora,Twisted,Nami,Malphite,Ezreal,Jax,1
Annie,Shen,Vayne,Karthus,Sion,Cho'Gath,Hecarim,Orianna,Teemo,Soraka,1
Renekton,Karma,Karthus,Master,Kog'Maw,Diana,Shen,Darius,Leona,Anivia,1
Caitlyn,Master,Draven,Kog'Maw,Thresh,Twitch,Diana,Singed,Evelynn,Rengar,2
Karthus,Twisted,Fizz,Draven,Anivia,Vayne,Galio,Trundle,Miss,Jayce,1
Miss,Gragas,Pantheon,Lulu,Karma,Cassiopeia,Irelia,Orianna,Janna,Diana,2
Varus,Blitzcrank,Shyvana,Corki,Twisted,Vi,Orianna,Malphite,Graves,Teemo,1
Nocturne,Nidalee,Rumble,Poppy,Master,Vi,Shen,Irelia,Rammus,Karthus,2
Diana,Brand,Kennen,Renekton,Fiora,Sejuani,Irelia,Shyvana,Soraka,Fizz,2
Kayle,Heimerdinger,Twitch,Swain,Nami,Thresh,Vi,Katarina,Cho'Gath,Trundle,1
Urgot,Trundle,Riven,Dr.Mundo,Nunu,Shyvana,Swain,Corki,Tristana,Twitch,2
Twisted,Galio,Amumu,Shyvana,Shen,Varus,Karthus,Shaco,Morgana,LeBlanc,1
Ezreal,Gragas,Rammus,Caitlyn,Pantheon,Brand,Fiora,Vi,Fiddlesticks,Shyvana,2
Nami,Nautilus,Poppy,Gragas,Jax,Fiora,Heimerdinger,Amumu,Kog'Maw,Annie,2
Thresh,Nami,Kennen,Diana,Soraka,Urgot,Alistar,Gragas,Shyvana,Malzahar,1
Orianna,Cassiopeia,Blitzcrank,Malzahar,Sona,Darius,Elise,Jax,Kassadin,Corki,2
Kha'Zix,Diana,Thresh,Nami,Taric,Kayle,Sona,Heimerdinger,Twitch,Cho'Gath,2
Shyvana,Thresh,Cassiopeia,Nami,Teemo,Shaco,Fiora,Twitch,Syndra,Tryndamere,1
Ezreal,Thresh,Jax,Cho'Gath,Tristana,Riven,Shyvana,Viktor,Jarvan,Mordekaiser,1
Shen,Fiddlesticks,Talon,Leona,Teemo,Irelia,Diana,Vi,Janna,Malzahar,1
Nami,Jarvan,Fiddlesticks,Olaf,Vi,Elise,Teemo,Mordekaiser,Lee,Kennen,1
Kayle,Twisted,Ezreal,Nunu,Fiddlesticks,Anivia,Shyvana,Ashe,Irelia,Veigar,1
Malphite,Ashe,Maokai,Fizz,Morgana,Mordekaiser,Diana,Rengar,Brand,Orianna,1
Kayle,Shaco,Mordekaiser,Rumble,Kassadin,Singed,Draven,Viktor,Diana,Corki,1
Lux,Blitzcrank,Thresh,Morgana,Nautilus,Master,Teemo,Shaco,Riven,Singed,1
Mordekaiser,Miss,Taric,Vayne,Kayle,Diana,Darius,Akali,Fiora,Ryze,1
Singed,Alistar,Brand,Thresh,Nami,Vi,Ashe,Jayce,Heimerdinger,Fiddlesticks,1
Veigar,Kennen,Pantheon,Caitlyn,Alistar,Diana,Fiddlesticks,Vi,Cho'Gath,Corki,2
Nunu,Kha'Zix,Vi,Thresh,Fizz,Morgana,Nidalee,Soraka,Lux,Heimerdinger,1
Fiora,Brand,Rumble,Diana,Irelia,Rengar,Morgana,Teemo,Vi,Darius,2
Ryze,Alistar,Trundle,Corki,Thresh,Taric,Vayne,Diana,Twisted,Skarner,2
Teemo,Twitch,Gragas,Ezreal,Nidalee,Draven,Elise,Tryndamere,Riven,Janna,1
Urgot,Galio,Renekton,Diana,Caitlyn,Miss,Akali,Vi,Fiora,Shen,1
Darius,Malphite,Rammus,Singed,Talon,Rumble,Nunu,Fiora,Brand,Blitzcrank,1
Fiora,Vi,Hecarim,Draven,Twisted,Cho'Gath,Renekton,Orianna,Shyvana,Twitch,2
Alistar,Fizz,Tryndamere,Skarner,Singed,Diana,Vi,Corki,Annie,Taric,1
Twisted,Karthus,Elise,Karma,Morgana,Ryze,Graves,Sona,Blitzcrank,Corki,1
Diana,Nami,Orianna,Darius,Mordekaiser,Galio,Alistar,Kennen,Heimerdinger,LeBlanc,2
Kassadin,Fiora,Mordekaiser,Brand,Elise,Nami,Sion,Katarina,Orianna,Diana,1
Skarner,Nidalee,Vayne,Diana,Fiddlesticks,Nautilus,Kennen,Kayle,Thresh,Kha'Zix,2
Jayce,Karma,Twisted,Cassiopeia,Diana,Fiora,Thresh,LeBlanc,Evelynn,Varus,1
Kayle,Gragas,Mordekaiser,Tryndamere,Olaf,Amumu,Soraka,Talon,Maokai,Morgana,2
Cho'Gath,Mordekaiser,Caitlyn,Vayne,Twisted,Teemo,Dr.Mundo,Katarina,Garen,Riven,2
Diana,Mordekaiser,Lee,Draven,Olaf,Brand,Urgot,Karma,Blitzcrank,Thresh,1
Fiora,Janna,Karma,Vi,Mordekaiser,Amumu,Trundle,Teemo,Cho'Gath,Akali,2
Lulu,Trundle,Teemo,Riven,Galio,Akali,Rumble,Master,LeBlanc,Jax,1
Nami,Lee,Veigar,Fiddlesticks,Fiora,Udyr,Sona,Anivia,Sejuani,Fizz,2
Lux,Kennen,Twisted,Nunu,Morgana,Shen,Jayce,Leona,Alistar,Fiora,1
Tryndamere,Draven,Swain,Irelia,Jayce,Riven,Malzahar,Jax,Nunu,Caitlyn,1
Pantheon,Soraka,Diana,Jax,Twisted,Vi,Corki,Mordekaiser,Sona,Shyvana,2
Sona,Cassiopeia,Cho'Gath,Diana,Kennen,Vi,Maokai,Renekton,Orianna,Akali,2
Alistar,Fiora,Mordekaiser,Nautilus,Nocturne,Corki,Twisted,Vi,Garen,Shyvana,1
Katarina,Jayce,Singed,Rumble,Shaco,Cho'Gath,Rammus,Nautilus,Malzahar,Mordekaiser,2
Sion,Pantheon,Jax,Gragas,Nocturne,Shyvana,Ryze,Caitlyn,Diana,Sona,1
Brand,Diana,Twisted,Sona,Lee,Ezreal,Vayne,Corki,Heimerdinger,Thresh,2
Vayne,Miss,Heimerdinger,Alistar,Cho'Gath,Thresh,Draven,Caitlyn,Ezreal,Corki,2
Akali,Rammus,Diana,Twisted,Cho'Gath,Shyvana,Alistar,Blitzcrank,Ezreal,Sivir,2
Shen,Master,Cho'Gath,Twitch,Diana,Lee,Fizz,Ryze,Brand,Kha'Zix,1
Thresh,Kayle,Jax,Jarvan,Trundle,Lee,Orianna,Mordekaiser,Taric,Nunu,2
Cho'Gath,Rammus,Akali,Sona,Shen,Kha'Zix,Vi,Singed,Gragas,Galio,2
Nami,Sion,Kayle,Elise,Karma,Lulu,Darius,Corki,Nautilus,Mordekaiser,2
Shyvana,Morgana,Lee,Orianna,Kayle,Diana,Kennen,Evelynn,Elise,Malphite,1
Karthus,Mordekaiser,Twitch,Kha'Zix,Cho'Gath,Gragas,Draven,Teemo,Kayle,Malphite,1
Karma,Udyr,Amumu,Nami,Morgana,Singed,Blitzcrank,Pantheon,Orianna,Syndra,1
Jarvan,Irelia,Trundle,Tryndamere,LeBlanc,Sivir,Urgot,Fiora,Garen,Orianna,1
Darius,Irelia,Elise,Sion,Orianna,Thresh,Draven,Diana,Karma,Fiora,2
Garen,Amumu,Nautilus,Akali,Anivia,Ryze,Rumble,Brand,Tryndamere,Fizz,2
Blitzcrank,Nautilus,Fiddlesticks,Diana,Elise,Cho'Gath,Heimerdinger,Brand,Morgana,Garen,2
Fiora,Cassiopeia,Kassadin,Trundle,Ashe,Jax,Maokai,Nami,Ryze,Blitzcrank,1
Darius,Twisted,Corki,Taric,Vi,Cassiopeia,Fiora,Vayne,Shyvana,Thresh,2
Ashe,Thresh,Fizz,Brand,Amumu,Poppy,Leona,Talon,Fiora,Vayne,2
Twisted,Shyvana,Swain,Akali,Alistar,Ezreal,Karma,Draven,Brand,Trundle,2
Master,Teemo,Tristana,Veigar,Jarvan,Fiddlesticks,Ezreal,Corki,Darius,Rengar,2
Draven,Diana,Taric,Rammus,Akali,Lee,Kog'Maw,Trundle,Fiora,Poppy,2
Shyvana,Shaco,Nami,Mordekaiser,Teemo,Diana,Fizz,Renekton,Amumu,Trundle,1
Singed,Rumble,Lux,Rammus,Sejuani,Trundle,LeBlanc,Morgana,Shaco,Janna,2
Alistar,Darius,Corki,Miss,Sejuani,Nautilus,Kayle,Garen,Gragas,Kha'Zix,1
Hecarim,Sion,Tristana,Urgot,Garen,Corki,Fiora,Twisted,Poppy,Kayle,2
Fiora,Malphite,Evelynn,Nidalee,Shaco,Rengar,Diana,Maokai,Sion,Poppy,1
Thresh,Shyvana,Vayne,Rammus,Brand,Alistar,Janna,Pantheon,Miss,Cho'Gath,1
Pantheon,Kassadin,Jarvan,Galio,Twitch,Jax,Shyvana,Darius,Heimerdinger,Cho'Gath,2
Cho'Gath,Corki,Galio,Riven,Renekton,Soraka,Shaco,Tryndamere,Rengar,Annie,1
Fiddlesticks,Malphite,Mordekaiser,Orianna,Heimerdinger,Shyvana,Jax,Nami,Kha'Zix,Annie,2
Elise,Orianna,Udyr,Alistar,Teemo,Cho'Gath,Annie,Jarvan,Veigar,Rammus,1
Trundle,Rengar,Olaf,Katarina,Fiora,Vayne,Orianna,Cho'Gath,Nautilus,Annie,2
Trundle,Draven,Caitlyn,Jax,Shyvana,Elise,Tryndamere,Skarner,Thresh,Jayce,1
Kha'Zix,Diana,Ezreal,Jax,Kayle,Fiddlesticks,Leona,Swain,Brand,Evelynn,2
Diana,Galio,Alistar,Nasus,Fiora,Maokai,Malphite,Trundle,Lux,Tristana,1
Viktor,Urgot,Elise,Draven,Shaco,Darius,Cho'Gath,Twitch,Akali,Master,1
Udyr,Shen,Fizz,Trundle,Elise,Leona,Vayne,Caitlyn,Twisted,Orianna,2
Darius,Olaf,Nami,Urgot,Singed,Swain,Tristana,Diana,Blitzcrank,Brand,2
Ryze,Kog'Maw,Twisted,Shen,Sona,Lux,Gragas,Kayle,Mordekaiser,Pantheon,2
Evelynn,Nunu,Mordekaiser,Orianna,Kayle,Jayce,Heimerdinger,Graves,Lee,Caitlyn,1
Orianna,Annie,Nautilus,Lulu,Galio,Jayce,Vayne,Diana,Twitch,Trundle,1
Urgot,Nautilus,Darius,Draven,Kha'Zix,Irelia,Caitlyn,Soraka,Elise,Skarner,2
Mordekaiser,Kassadin,Caitlyn,Teemo,Karma,Ryze,Fiora,Brand,Skarner,Garen,2
Twitch,Swain,Mordekaiser,Lux,Vi,Galio,Viktor,Fizz,Sona,Janna,2
Nocturne,Malphite,Orianna,Shyvana,Morgana,Varus,Ezreal,Nunu,Vayne,Shaco,1
Riven,Kassadin,Shyvana,Soraka,Cassiopeia,Morgana,Ryze,Heimerdinger,Pantheon,Nami,1
Shyvana,Sona,Draven,Urgot,Galio,Skarner,Soraka,Fiora,Veigar,Riven,1
Kassadin,Urgot,Caitlyn,Lulu,Fiddlesticks,Rengar,Morgana,Shyvana,Galio,Skarner,1
Heimerdinger,Fiddlesticks,Sejuani,Kha'Zix,Shyvana,Nami,Shaco,Singed,Nautilus,Miss,1
Soraka,Diana,Nautilus,Draven,Malphite,Pantheon,Corki,Irelia,Jax,Singed,1
Nami,Nasus,Evelynn,Poppy,Nidalee,Fiora,Diana,Garen,Thresh,Morgana,2
Udyr,Riven,Karthus,Caitlyn,Lee,Morgana,Annie,Vayne,Jayce,Maokai,2
Anivia,Tristana,Rammus,Janna,Mordekaiser,Shyvana,Hecarim,Alistar,Brand,Vi,2
Irelia,Alistar,Kayle,Master,Corki,Fiora,Ezreal,Diana,Twitch,Vi,1
Dr.Mundo,Udyr,Caitlyn,Amumu,Rammus,Malphite,Vi,Veigar,Shyvana,Sona,2
Garen,Orianna,Evelynn,Anivia,Darius,Fiora,Teemo,Fizz,Tryndamere,Nasus,2
Mordekaiser,Vayne,Shyvana,Caitlyn,Sejuani,Tryndamere,Malzahar,Malphite,Fiddlesticks,Annie,1
Sejuani,Fiora,Cassiopeia,Vi,Nami,Diana,Darius,Nunu,Garen,Sona,1
Diana,Brand,Alistar,Cassiopeia,Amumu,Vi,Ashe,Mordekaiser,Janna,Garen,2
Fiora,Nami,Vayne,Urgot,Jayce,Lux,Alistar,Gragas,Katarina,Diana,1
Twitch,Kha'Zix,Rumble,Nunu,Taric,Sion,Morgana,Veigar,Sona,Kennen,1
Anivia,Trundle,Rammus,Shaco,Annie,Shyvana,Twisted,Fiora,Rumble,Cassiopeia,1
Vi,Alistar,Shaco,Shen,Nasus,Riven,Sona,Urgot,Kha'Zix,Kayle,2
Morgana,Twitch,Kassadin,Viktor,Sion,Maokai,Ezreal,Malphite,Urgot,Dr.Mundo,2
Rammus,Elise,Nidalee,Orianna,Evelynn,Ashe,Varus,Trundle,Riven,Ryze,1
Nautilus,Trundle,Ryze,Darius,Corki,Mordekaiser,Malzahar,Shaco,Veigar,Fiora,1
Poppy,Jayce,Anivia,Diana,Nunu,Rengar,Vayne,Ezreal,Garen,Blitzcrank,1
Fizz,Teemo,Orianna,Tristana,Corki,Janna,Draven,Urgot,Cho'Gath,Miss,1
Janna,Morgana,Vayne,Blitzcrank,Lux,Malphite,Anivia,Caitlyn,Sona,Lee,1
Diana,Fiora,Draven,Thresh,Rengar,Kayle,Darius,Lee,Leona,Taric,2
Alistar,Diana,Vayne,Draven,Nasus,Amumu,Lux,Kassadin,Akali,Karthus,1
Thresh,Morgana,Soraka,Orianna,Gragas,Ashe,Karthus,Blitzcrank,Nocturne,Jayce,1
Thresh,Karthus,Fiddlesticks,Ashe,Akali,Nasus,Ryze,Twitch,Morgana,Singed,1
Master,Diana,Shyvana,Garen,Karma,Morgana,Janna,Shaco,Sejuani,Fiora,2
Thresh,Twisted,Akali,Evelynn,Fiora,Sona,Riven,Morgana,Jarvan,Swain,2
Nami,Nasus,Tristana,Miss,Gragas,Master,Lulu,Alistar,Diana,Thresh,2
Soraka,Jarvan,Nasus,Heimerdinger,Mordekaiser,Anivia,Annie,Thresh,Ashe,Master,2
Vayne,Karthus,Draven,Rammus,Nidalee,Kha'Zix,Lux,Ezreal,Garen,Alistar,1
Sona,Vayne,Irelia,Katarina,Ashe,Viktor,Elise,Fizz,Singed,Fiora,1
Urgot,Singed,Morgana,Graves,Amumu,Vi,Caitlyn,Syndra,Garen,Twisted,1
Shyvana,Lux,LeBlanc,Fizz,Renekton,Fiora,Skarner,Vayne,Ryze,Karthus,2
Veigar,Sejuani,Janna,Vi,Twisted,Diana,Corki,Malzahar,Jax,Trundle,1
Olaf,Morgana,Kayle,Miss,Draven,Vayne,Vi,Corki,Soraka,Garen,1
Diana,Garen,Karma,Leona,Orianna,Shyvana,Irelia,Swain,Janna,Graves,1
Lulu,Brand,Veigar,Karthus,Kennen,Rammus,Riven,Rumble,Master,Ryze,1
Akali,Blitzcrank,LeBlanc,Amumu,Diana,Nasus,Fiora,Trundle,Taric,Ryze,2
Dr.Mundo,Tristana,Cho'Gath,Shen,Sejuani,Trundle,Katarina,Kog'Maw,Poppy,Singed,2
Soraka,Lulu,Kayle,Viktor,Ashe,Malphite,Alistar,Annie,Talon,Galio,2
Jax,Karma,Janna,Katarina,Viktor,Rumble,Brand,Riven,Mordekaiser,Thresh,1
Garen,Syndra,Shen,Ryze,Shaco,Tryndamere,Vayne,Trundle,Elise,Fiora,2
Kog'Maw,Diana,Skarner,Vayne,Twitch,Urgot,Akali,Kayle,Darius,Taric,2
Rengar,LeBlanc,Pantheon,Janna,Poppy,Kennen,Veigar,Garen,Nocturne,Tryndamere,2
Orianna,Diana,Thresh,Akali,Sivir,Heimerdinger,Amumu,Nautilus,Tristana,Malzahar,1
Jax,Diana,Varus,Master,Shaco,Shyvana,Sona,Vi,Draven,Nami,2
Kayle,Renekton,Thresh,Ryze,Karthus,Brand,Diana,Irelia,Galio,Fiora,1
Rumble,Soraka,Darius,Trundle,Viktor,Brand,Jax,Thresh,Varus,Jayce,2
Corki,Garen,Morgana,Taric,Riven,Nidalee,Kayle,Jax,Kog'Maw,Orianna,1
Shyvana,Viktor,Malphite,Brand,Talon,Darius,Fiora,Cho'Gath,Anivia,Shaco,1
Twisted,Twitch,Ezreal,Diana,Malphite,Taric,Varus,Blitzcrank,Shaco,Singed,1
Trundle,Elise,Twisted,Corki,Darius,Kayle,Amumu,Draven,Swain,Kassadin,2
Singed,Shaco,Tristana,Viktor,Skarner,Heimerdinger,Maokai,Hecarim,Garen,Draven,1
Cho'Gath,Morgana,Miss,Udyr,Nami,Nasus,Annie,Fiddlesticks,Singed,Caitlyn,1
Orianna,Ryze,Skarner,Kayle,Anivia,Janna,Veigar,Talon,Brand,Master,1
Katarina,Maokai,Renekton,Shyvana,Akali,Shaco,Nidalee,Vi,Cho'Gath,Shen,1
Mordekaiser,Vayne,Fiddlesticks,Twisted,Graves,Garen,Shyvana,Nautilus,Sejuani,Thresh,2
Kayle,Nocturne,Swain,Master,Veigar,Amumu,Dr.Mundo,Shyvana,Morgana,Maokai,2
Diana,Garen,Corki,Shyvana,Jax,Ezreal,Thresh,Twitch,Mordekaiser,Malzahar,1
Cho'Gath,Kog'Maw,Master,Draven,Ryze,Amumu,Shen,Orianna,Kayle,Mordekaiser,1
Orianna,Cho'Gath,Kassadin,Sona,Sejuani,Malphite,Hecarim,Fiora,Diana,Miss,1
Alistar,Anivia,Twitch,Dr.Mundo,Lux,Kayle,Shen,Caitlyn,Fiddlesticks,Galio,2
Kayle,Lux,Diana,Rammus,Orianna,Annie,Ezreal,Thresh,Ashe,Caitlyn,2
Fiora,Akali,Fiddlesticks,Kassadin,LeBlanc,Annie,Diana,Nasus,Mordekaiser,Shen,1
Orianna,Pantheon,Diana,Mordekaiser,Swain,Shaco,Fiora,Caitlyn,Brand,Nidalee,1
Mordekaiser,Caitlyn,Diana,Skarner,Gragas,Thresh,Vayne,Fiora,Leona,Nidalee,1
Lee,Jayce,Skarner,Leona,Taric,Nautilus,Ezreal,Teemo,Master,Morgana,2
Vi,Lee,Thresh,Sona,Jayce,Shyvana,LeBlanc,Miss,Katarina,Cho'Gath,1
Trundle,Nami,Jax,Orianna,Sona,Morgana,Cho'Gath,Thresh,Twisted,Akali,2
Twisted,Ashe,Draven,Diana,Mordekaiser,Shen,Fiora,Vayne,Caitlyn,Galio,2
Tryndamere,Dr.Mundo,Riven,Karma,Heimerdinger,Cassiopeia,Anivia,Jayce,Mordekaiser,Orianna,1
Shyvana,Fiora,Caitlyn,Irelia,Jayce,Syndra,Alistar,Lulu,Corki,Gragas,2
Galio,Maokai,Ezreal,Kassadin,Kog'Maw,Morgana,Ashe,Shyvana,Jarvan,Caitlyn,1
Heimerdinger,Darius,Syndra,Nasus,Ryze,Alistar,Fiora,Ezreal,Diana,Caitlyn,2
Singed,Kog'Maw,Sona,Sejuani,Cho'Gath,Shyvana,Tristana,Caitlyn,Morgana,Nidalee,1
Amumu,Kayle,Tryndamere,Nami,Swain,Corki,Cho'Gath,Tristana,Brand,Rumble,1
Cho'Gath,Mordekaiser,Teemo,Twisted,Kha'Zix,Shen,Urgot,Amumu,Tryndamere,Rammus,1
Lulu,Riven,Vi,Hecarim,Alistar,Singed,Kassadin,Kayle,Evelynn,Shyvana,2
Thresh,Brand,Soraka,Caitlyn,Renekton,Diana,Poppy,Jax,Evelynn,Syndra,1
Elise,Garen,Poppy,Diana,Sivir,Brand,Urgot,Vi,Renekton,Singed,2
Twitch,Talon,Lulu,Pantheon,Ezreal,Diana,Mordekaiser,Caitlyn,Corki,Amumu,2
Tryndamere,Shyvana,Cho'Gath,Shen,Akali,Morgana,Karma,Urgot,Renekton,Fizz,2
Singed,Orianna,Maokai,Nami,Pantheon,Evelynn,Shyvana,Draven,Malzahar,Jayce,1
Mordekaiser,Akali,Kayle,Udyr,Gragas,Thresh,Lulu,Rammus,Trundle,Diana,2
Jayce,Tristana,Fiddlesticks,Shen,Heimerdinger,Ezreal,Hecarim,Maokai,Akali,LeBlanc,2
Twisted,Nocturne,Akali,Nami,Nasus,Katarina,Vayne,Jarvan,Olaf,Miss,1
Lux,Shaco,Kha'Zix,Fiora,Caitlyn,Nami,Vayne,Kassadin,Kayle,Draven,1
